Date,XLE,XLF,XLK
2019-01-02,21.123750686645508,20.933631896972656,29.03219985961914
2019-01-03,20.914247512817383,20.463003158569336,27.567020416259766
2019-01-04,21.625839233398438,21.14278793334961,28.788782119750977
2019-01-07,21.947317123413086,21.168928146362305,29.04624366760254
2019-01-08,22.117084503173828,21.186359405517578,29.289657592773438
2019-01-09,22.46746253967285,21.29094123840332,29.668832778930664
2019-01-10,22.53247833251953,21.299654006958008,29.799903869628906
2019-01-11,22.398836135864258,21.351947784423828,29.74372673034668
2019-01-14,22.344650268554688,21.500104904174805,29.467544555664062
2019-01-15,22.424116134643555,21.691831588745117,29.912246704101562
2019-01-16,22.395221710205078,22.153738021850586,29.94033432006836
2019-01-17,22.601110458374023,22.27574348449707,30.132265090942383
2019-01-18,23.059852600097656,22.659202575683594,30.59101104736328
2019-01-22,22.557764053344727,22.397756576538086,30.076087951660156
2019-01-23,22.32659149169922,22.423900604248047,30.1790714263916
2019-01-24,22.445791244506836,22.4761962890625,30.431852340698242
2019-01-25,22.73114776611328,22.659202575683594,30.862512588500977
2019-01-28,22.503585815429688,22.589494705200195,30.45057487487793
2019-01-29,22.572216033935547,22.511051177978516,30.122900009155273
2019-01-30,22.890085220336914,22.641775131225586,31.05911636352539
2019-01-31,23.038177490234375,22.606922149658203,31.026355743408203
2019-02-01,23.439125061035156,22.702781677246094,31.20891761779785
2019-02-04,23.493309020996094,22.798654556274414,31.709787368774414
2019-02-05,23.529428482055664,22.737640380859375,31.976613998413086
2019-02-06,23.356050491333008,22.711498260498047,32.08428955078125
2019-02-07,22.839515686035156,22.484905242919922,31.644258499145508
2019-02-08,22.73476219177246,22.37160873413086,31.826814651489258
2019-02-11,22.84312629699707,22.441333770751953,31.81276512145996
2019-02-12,23.132095336914062,22.772497177124023,32.23406982421875
2019-02-13,23.421064376831055,22.833513259887695,32.27619934082031
2019-02-14,23.50414276123047,22.55462646484375,32.33238220214844
2019-02-15,23.883419036865234,23.033958435058594,32.58984375
2019-02-19,23.955663681030273,23.068817138671875,32.599205017089844
2019-02-20,24.056798934936523,23.21697425842285,32.63665771484375
2019-02-21,23.68474769592285,23.094961166381836,32.650699615478516
2019-02-22,23.753387451171875,23.060104370117188,33.06731414794922
2019-02-25,23.79311752319336,23.15597152709961,33.22647476196289
2019-02-26,23.717262268066406,23.08625030517578,33.29668045043945
2019-02-27,23.80756378173828,23.173398971557617,33.263916015625
2019-02-28,23.56916046142578,23.112394332885742,33.17029571533203
2019-03-01,24.002613067626953,23.26055335998535,33.39498519897461
2019-03-04,24.045970916748047,23.112394332885742,33.268592834472656
2019-03-05,23.966495513916016,23.025239944458008,33.17029571533203
2019-03-06,23.66307830810547,22.877086639404297,32.997100830078125
2019-03-07,23.522207260131836,22.641775131225586,32.6834716796875
2019-03-08,23.08152961730957,22.63306427001953,32.67877197265625
2019-03-11,23.4427433013916,22.868370056152344,33.38093566894531
2019-03-12,23.594446182250977,22.920663833618164,33.577552795410156
2019-03-13,23.832849502563477,23.077533721923828,33.79756164550781
2019-03-14,23.85813331604004,23.164682388305664,33.86778259277344
2019-03-15,23.848663330078125,23.326738357543945,34.27775192260742
2019-03-18,24.179948806762695,23.56324577331543,34.423343658447266
2019-03-19,24.11441993713379,23.379297256469727,34.49378967285156
2019-03-20,24.325565338134766,22.89751434326172,34.399871826171875
2019-03-21,24.496671676635742,22.827438354492188,35.26396942138672
2019-03-22,23.834108352661133,22.19675636291504,34.4327392578125
2019-03-25,23.845027923583984,22.10039520263672,34.28245544433594
2019-03-26,24.187236785888672,22.363183975219727,34.470306396484375
2019-03-27,24.016130447387695,22.266830444335938,34.273067474365234
2019-03-28,24.107139587402344,22.459543228149414,34.41395568847656
2019-03-29,24.070737838745117,22.520851135253906,34.75206756591797
2019-04-01,24.38745880126953,23.072711944580078,35.226402282714844
2019-04-02,24.21999740600586,23.05518913269043,35.34849548339844
2019-04-03,23.987009048461914,23.125261306762695,35.63496780395508
2019-04-04,24.187236785888672,23.265417098999023,35.484683990478516
2019-04-05,24.6131649017334,23.300460815429688,35.65375518798828
2019-04-08,24.722379684448242,23.326738357543945,35.789947509765625
2019-04-09,24.42021942138672,23.134031295776367,35.620880126953125
2019-04-10,24.511234283447266,23.204103469848633,35.86978530883789
2019-04-11,24.529434204101562,23.344255447387695,35.822818756103516
2019-04-12,24.5949649810791,23.773473739624023,36.071720123291016
2019-04-15,24.4493465423584,23.624563217163086,36.05763626098633
2019-04-16,24.609525680541992,23.957429885864258,36.240787506103516
2019-04-17,24.576766967773438,24.018739700317383,36.442726135253906
2019-04-18,24.460262298583984,23.94866943359375,36.546043395996094
2019-04-22,24.977214813232422,23.878589630126953,36.63056564331055
2019-04-23,24.937170028686523,24.02750015258789,37.02975845336914
2019-04-24,24.50030517578125,24.001216888427734,37.04384231567383
2019-04-25,24.423860549926758,24.045024871826172,37.03445053100586
2019-04-26,24.107139587402344,24.264009475708008,36.893558502197266
2019-04-29,24.08530044555664,24.509281158447266,36.902950286865234
2019-04-30,24.06709098815918,24.544315338134766,36.9640007019043
2019-05-01,23.586551666259766,24.34284782409668,36.870079040527344
2019-05-02,23.17517852783203,24.369129180908203,36.67753601074219
2019-05-03,23.389970779418945,24.588119506835938,37.02503967285156
2019-05-06,23.411813735961914,24.421682357788086,36.73859405517578
2019-05-07,23.207944869995117,24.018739700317383,35.94961166381836
2019-05-08,23.207944869995117,23.966188430786133,35.90734100341797
2019-05-09,23.207944869995117,23.913625717163086,35.66315841674805
2019-05-10,23.317163467407227,24.071304321289062,35.77585983276367
2019-05-13,22.91670799255371,23.37053680419922,34.42803955078125
2019-05-14,23.197021484375,23.554487228393555,34.98218536376953
2019-05-15,23.317163467407227,23.46689224243164,35.36260223388672
2019-05-16,23.444576263427734,23.703397750854492,35.68663024902344
2019-05-17,23.207944869995117,23.54572105407715,35.40015411376953
2019-05-20,23.218868255615234,23.57200050354004,34.78494644165039
2019-05-21,23.48826026916504,23.81727409362793,35.212318420410156
2019-05-22,23.124216079711914,23.6771183013916,35.02915573120117
2019-05-23,22.348793029785156,23.344255447387695,34.41395568847656
2019-05-24,22.432525634765625,23.52821159362793,34.423343658447266
2019-05-28,22.199539184570312,23.25665855407715,34.32472229003906
2019-05-29,22.05756378173828,23.212862014770508,34.12278366088867
2019-05-30,21.777240753173828,23.134031295776367,34.33411407470703
2019-05-31,21.39499855041504,22.783647537231445,33.76118087768555
2019-06-03,21.668033599853516,22.932554244995117,33.16945266723633
2019-06-04,22.042997360229492,23.554487228393555,34.27775192260742
2019-06-05,21.799089431762695,23.703397750854492,34.72391128540039
2019-06-06,22.203176498413086,23.790996551513672,35.12776565551758
2019-06-07,22.30511474609375,23.755952835083008,35.780555725097656
